Date,Reference,Texte,Type
31/07/2025,EPJ01549101,"La France condamne avec la plus grande fermeté les frappes massives contre
des villes ukrainiennes, qui ont une nouvelle fois ciblé des infrastructures
civiles et fait de nombreuses victimes parmi la population. Cette nuit, à Kyïv,
les frappes russes ont fait, selon un bilan provisoire, 7 morts et 44 blessés. Ces
attaques illustrent une stratégie délibérée d'escalade militaire et visent à
instiller la peur dans la population ukrainienne. Elles interviennent alors que le
Président Trump a fixé un ultimatum à la Russie le 14 juillet dernier, lui intimant
de s'engager de bonne foi dans des négociations. Depuis cette date, la Russie
a frappé le territoire ukrainien à plus de 3.100 reprises, causant plus de 50
morts civils et entre 180 et 200 blessés. Aujourd'hui, comme depuis le début de
son invasion, la Russie demeure dans une logique de confrontation et refuse
tout engagement sérieux en faveur de la paix. La France continuera de
s'investir avec détermination aux côtés de l'Ukraine afin de parvenir à une paix
juste et durable.",Point de presse
28/07/2025,EPJ01547904,"La France, aux côtés de 40 autres Etats participants de l'Organisation pour la
sécurité et la coopération en Europe (OSCE), a activé le 24 juillet 2025 le
Mécanisme de Moscou de l'OSCE qui vise à enquêter sur la situation des
droits de l'Homme dans un Etat participant. Cette initiative vise à faire la
lumière sur le traitement des prisonniers de guerre ukrainiens par la Fédération
de Russie. La Russie mène depuis plus de trois ans une guerre d'agression
contre l'Ukraine en violation du droit international, des principes fondateurs de
l'OSCE et de ses engagements internationaux en matière de droits de
l'Homme. Les violations graves, généralisées et systématiques du droit
international humanitaire et des droits de l'Homme par la Russie ont déjà été
établies par plusieurs rapports, notamment du Bureau des institutions
démocratiques et des droits de l'Homme (BIDDH) de l'OSCE, du
Haut−Commissariat des Nations unies aux droits de l'Homme et de la
Commission d'enquête internationale indépendante sur l'Ukraine. Face à ces
actes intolérables, la France réaffirme solennellement sa détermination à lutter
contre toute impunité. L'activation de ce mécanisme permettra à une mission
d'experts indépendants de recueillir des preuves, documenter et rapporter les
faits. La France rappelle que les Etats participants de l'OSCE se sont engagés
à respecter le droit international humanitaire, en particulier les obligations
découlant de la Troisième Convention de Genève relative au traitement des
prisonniers de guerre et rappelle que l'interdiction de la torture en droit
international est absolue. La France continuera de se tenir aux côtés du peuple
ukrainien et d'apporter son appui à l'indispensable travail de la justice
1
internationale pour assurer que les responsables de tous les crimes commis en
Ukraine rendent des comptes. Elle ne manquera pas d'étudier avec intérêt les
résultats du rapport indépendant.",Point de presse
25/07/2025,EPJ01547602,"Le ministre de l'Europe et des affaires étrangères, M. Jean−Noël Barrot, s'est
entretenu avec son homologue finlandaise, Mme Elina Valtonen, le 24 juillet
2025 à Paris. Les ministres se sont réjouis du renforcement de la relation
bilatérale entre nos deux pays. Les deux ministres ont réitéré leur attachement
au multilatéralisme et aux principes fondamentaux de l'Organisation pour la
sécurité et la coopération en Europe (OSCE), dont la présidence pour 2025 est
exercée par la Finlande. Le Ministre a salué les efforts et les ambitions de la
présidence finlandaise pour maintenir le bon fonctionnement de l'organisation
malgré les nombreux défis auxquels elle fait face. Cinquante ans après la
signature de l'Acte d'Helsinki, les deux ministres ont rappelé que les
Européens devaient continuer de se mobiliser dans la définition de
l'architecture de sécurité européenne. Plus de trois ans après le début de la
guerre d'agression russe contre l'Ukraine, les ministres ont réaffirmé la
poursuite du soutien sans faille de la France et de la Finlande à l'Ukraine. Ils se
sont félicités du niveau d'ambition du nouveau paquet européen de sanctions
adopté le 18 juillet dernier, qui doit permettre de renforcer la pression sur la
Russie et la contraindre à un cessez−le−feu. Les ministres ont fait état de la
situation à Gaza, en rappelant qu'il était urgent de parvenir à un cessez−le−feu
immédiat et permanent, à la libération inconditionnelle de tous les otages et à
l'accès sans entrave de l'aide humanitaire. Les ministres ont convenu de se
coordonner pour renforcer l'action de l'Union européenne dans ce sens. Ils ont
en outre souligné le rôle essentiel de la Force intérimaire des Nations unies au
Liban (FINUL) pour l'équilibre régional.",Point de presse
25/07/2025,EPJ01547603,"Le ministre de l'Europe et des affaires étrangères, M. Jean−Noël Barrot, a reçu
son homologue hongrois, M. Péter Szijjártó, le jeudi 24 juillet. Cet entretien a
été l'occasion d'aborder les relations bilatérales et le renforcement de nos
coopérations en matière économique et nucléaire. Sur le plan européen, les
deux ministres ont constaté leurs convergences pour promouvoir le respect du
principe de neutralité technologique, renforcer le soutien aux agriculteurs
européens, et contribuer activement au développement d'une défense
européenne. Le Ministre a réaffirmé notre soutien à l'Ukraine dans la guerre
d'agression qu'elle subit de la part de la Russie, la nécessité d'oeuvrer en
faveur d'une paix juste et durable, ainsi que notre soutien à l'avancée des
négociations d'adhésion de l'Ukraine à l'Union européenne. Le Ministre a
également souligné la nécessité de préserver l'unité et la cohésion de l'Union
européenne dans la gestion des grands dossiers internationaux, y compris en
ce qui concerne l'Ukraine et le Moyen−Orient.",Point de presse
16/07/2025,EPJ01545404,"La France salue la publication par le Bureau des institutions démocratiques et
des droits de l'Homme (BIDDH) de l'OSCE de son 7ème rapport sur les
violations rapportées du droit international humanitaire et du droit international
des droits de l'Homme en Ukraine. Le rapport constate l'intensification des
bombardements indistincts des zones densement peuplées par les forces
armées russes et l'augmentation conséquente du nombre de victimes civiles. Il
se fonde sur de nouveaux témoignages recueillis au cours du premier
semestre 2025 auprès des survivants et des victimes de l'occupation russe,
confirmant des pratiques de torture, de mauvais traitement de prisonniers civils
et des prisonniers de guerre, des cas de violences sexuelles et de nombreux
autres violations du droit international et des engagements pris par la Russie
au sein de l'OSCE. Enfin, il formule des recommandations pour mettre fin à ces
pratiques insoutenables. La France reste engagée aux côtés des Ukrainiens,
de ses partenaires internationaux et des juridictions internationales pour lutter
contre l'impunité des auteurs des actes insoutenables qui ont été commis.",Point de presse
11/07/2025,EPJ01544702,"La France prend note de la condamnation, le mercredi 9 juillet 2025, par la
Cour européenne des droits de l'Homme (CEDH) de la Russie pour les
violations flagrantes et généralisées des droits de l'Homme qu'elle a commises
dans les territoires occupés d'Ukraine depuis 2014 et à l'occasion de son
invasion à grande échelle de l'Ukraine lancée en février 2022. Dans son arrêt,
la Cour cite l'existence d'un système organisé de violations des droits de
l'Homme, incluant des attaques militaires indiscriminées, des exécutions
sommaires, des actes de torture et en particulier l'usage du viol comme arme
de guerre, des détentions illégales et arbitraires, des persécutions visant des
journalistes et des groupes religieux, ainsi que le transfert organisé d'enfants
vers la Russie et leur adoption dans ce pays. La Cour a aussi jugé que la
Russie était responsable de la destruction du vol MH17 à l'été 2014, ayant
entraîné la mort de 298 personnes. La France réitère sa ferme condamnation
de la guerre d'agression de la Russie contre l'Ukraine, conduite au mépris du
droit international et qui s'accompagne de violations graves et systématiques
des droits de l'Homme.",Point de presse
26/06/2025,EPJ01541205,"La France salue la signature de l'accord bilatéral entre le Conseil de l'Europe et
l'Ukraine relatif à l'établissement du Tribunal spécial pour le crime d'agression
de la Russie contre l'Ukraine, lors d'une cérémonie qui s'est tenue ce 25 juin
2025 au Conseil de l'Europe à Strasbourg, en présence du président ukrainien
Volodymyr Zelensky. La France se réjouit de cette avancée historique, qui
marque la première étape du processus conduisant à la mise en place de cette
nouvelle juridiction, institution essentielle pour rendre justice aux victimes de
l'agression russe. La France s'est pleinement investie dans les travaux
préparatoires pour la création d'un tribunal pour lutter contre l'impunité des
crimes d'agression commis par la Russie. La France accompagnera, dans le
cadre du Conseil de l'Europe, les prochaines étapes à franchir pour
3
l'établissement de ce Tribunal spécial et maintiendra aussi longtemps qu'il le
faudra son engagement aux côtés de l'Ukraine, dans sa quête de justice
comme dans sa lutte pour sa souveraineté et son intégrité territoriale.",Point de presse
24/06/2025,EPJ01540401,"Le ministre de l'Europe et des affaires étrangères a participé hier, lundi 23 juin
2025, au Conseil Affaires étrangères (CAE) de l'Union européenne à Bruxelles.
En ce qui concerne la situation en Ukraine, les ministres ont insisté sur la
poursuite du soutien apporté par l'Union et ses Etats membres, plus de 3 ans
après le début de la guerre d'agression russe. Les Etats membres sont
convenus de renforcer la pression sur la Russie, ainsi que sur les Etats tiers
qui la soutiennent sur le plan économique, notamment à travers l'adoption
rapide de sanctions de grande ampleur visant l'économie russe. La situation au
Moyen−Orient et l'escalade inquiétante entre l'Iran et Israël ont été abordées.
Au lendemain de la déclaration conjointe des dirigeants des E3 − Allemagne,
France, Royaume−Uni − du 22 juin dernier sur la situation au Proche et au
Moyen orient, les ministres européens ont insisté sur la désescalade, l'atteinte
d'une solution diplomatique sur l'encadrement du programme nucléaire tout en
insistant sur la nécessité de mettre fin aux activités de déstabilisation menées
par l'Iran. Le Ministre a rappelé que l'escalade en cours ne devait pas occulter
la situation intolérable à Gaza, en particulier s'agissant des entraves
intolérables pour l'accès à l'aide humanitaire, ainsi que la poursuite de la
colonisation en Cisjordanie. Les ministres ont pris connaissance du rapport de
la Haute Représentante/Vice−présidente de la Commission européenne selon
lequel l'article 2 de l'accord d'association UE/Israël portant sur le respect des
droits de l'Homme n'est pas respecté. Ils ont confié mandat à Kaja Kallas pour
dialoguer avec les autorités israéliennes pour obtenir des améliorations
concrètes de la situation ainsi que le respect du droit international humanitaire.
Les ministres décideront, sur cette base, des suites à donner lors du CAE de
juillet. Enfin, en ce qui concerne la Géorgie, les ministres ont fait part de leur
préoccupation vis−à−vis de la forte dégradation de l'état de droit, des violences
ciblant les manifestants, ainsi que des arrestations arbitraires.",Point de presse
04/06/2025,EPJ01535801,"Le ministre de l'Europe et des affaires étrangères, M. Jean−Noël Barrot, a reçu
son homologue bulgare, M. Georg Georgiev, le mardi 3 juin. Les ministres se
sont félicités du développement des relations bilatérales franco−bulgares, y
compris en matière économique. Ils ont appelé à approfondir la coopération sur
des sujets d'intérêt commun susceptibles de renforcer l'autonomie stratégique
européenne, comme la défense et le nucléaire civil. La signature prochaine de
la feuille de route actualisée du partenariat stratégique franco−bulgare
permettra de nourrir cette dynamique positive. Dans la perspective du Conseil
européen des 26 et 27 juin prochains, les ministres ont échangé sur les sujets
prioritaires de l'actualité européenne et internationale. Face à la poursuite de la
guerre d'agression menée par la Russie, ils ont réaffirmé leur détermination
dans leur soutien à l'Ukraine. Ils ont souligné l'importance de la politique
d'élargissement, notamment à direction des pays des Balkans Occidentaux,
4
ainsi que l'importance de la région de la mer Noire pour la sécurité
européenne.",Point de presse
28/05/2025,EPJ01534902,"Iran Avant de poursuivre, je souhaite avoir une pensée pour nos deux
compatriotes otages d'Etat en Iran depuis plus de trois ans. Cécile Kohler et
Jacques Paris sont détenus dans des conditions qui peuvent s'apparenter, en
droit international humanitaire, à de la torture. C'est une situation inadmissible,
et comme la France l'a déjà dit à plusieurs reprises, contraire au droit
international. La mobilisation de la France ne faiblira pas. La France
maintiendra la pression sur les autorités iraniennes jusqu'à ce que nos deux
compatriotes soient libérés. Indopacifique Je l'évoquais il y a quelques minutes,
le ministre de l'Europe et des affaires étrangères Jean−Noël Barrot se rendra à
Singapour en fin de semaine, où il rejoindra le Président de la République pour
la dernière étape de sa tournée en Asie du Sud−Est. Cet agenda asiatique me
permet de rappeler que la région indopacifique constitue une priorité
diplomatique pour la France. En 2018, sous l'impulsion du Président de la
République, la France a lancé une stratégie indopacifique centrée sur le
renforcement et le développement de partenariats avec de nombreux pays de
la région. Au sein de ce vaste espace indopacifique, la diplomatie française a
développé des liens étroits, nourris et suivis, notamment avec les pays de
l'ASEAN, épicentre de la croissance économique mondiale. Nous partageons
avec cette région un attachement à la coopération internationale, à la
résolution pacifique des conflits et au multilatéralisme. Le déplacement du
Président de la République au Vietnam, en Indonésie et à Singapour illustre le
rôle qu'entend jouer la France aux côtés des pays d'Asie du Sud−Est : la
France s'inscrit comme puissance d'équilibre et comme un partenaire fiable et
respectueux des souverainetés. Le ministre de l'Europe et des affaires
étrangères a eu, à de nombreuses reprises, l'occasion de porter ces messages
et cette orientation stratégique. Il y a deux mois, notamment, le Ministre s'est
rendu à Jakarta en Indonésie, et à Singapour, pour mettre en lumière
l'excellence de nos partenariats, fondés sur la confiance et notre capacité à
travailler ensemble dans des domaines stratégiques allant de la défense à
l'énergie, en passant par le défi environnemental. Il avait par ailleurs eu
l'occasion d'échanger avec le secrétaire général de l'ASEAN, organisation dont
la France est un partenaire de développement depuis 2020. Très
concrètement, la tournée actuelle du Président de la République illustre le
dynamisme des partenariats avec les pays de la région. Au Vietnam, la visite
d'Etat du Président a permis de concrétiser la signature de 9 milliards d'euros
de contrats dans les domaines de la défense, du ferroviaire, de l'aéronautique
tout en resserrant nos liens autour d'un partenariat énergétique ambitieux. En
Indonésie, le Président a posé les fondations d'une nouvelle stratégie conjointe
dans le domaine culturel. Dans la droite ligne du Sommet Choose France, le
Président a également rencontré des investisseurs et patrons indonésiens,
oeuvrant ainsi à densifier davantage encore un partenariat économique déjà
très dynamique avec l'Indonésie. Les efforts diplomatiques français en Asie du
Sud−Est s'inscrivent ainsi dans un contexte singulier, autant pour nous, pays
européen, que pour les pays de la région. Il faut bien sûr mentionner les défis
commerciaux auxquels nous faisons face. La question des droits de douane
5
imposés par les Etats−Unis a des conséquences lourdes. La densité des liens
économiques avec nos partenaires régionaux nous permet, chacun d'entre
nous, d'intensifier nos efforts de diversification de nos chaînes de valeurs et
d'approvisionnement, enjeu fondamental de souveraineté. Il faut également
rappeler que dans le contexte de la guerre d'agression que mène la Russie sur
le sol européen, les pays européens ne sont pas les seuls à se préoccuper de
leur sécurité. Nous avons pu observer une tendance préoccupante à
l'exportation du conflit vers le continent asiatique. En témoigne notamment le
soutien militaire massif de la Corée du Nord à la Russie. La paix durable en
Ukraine que la France défend avec vigueur n'est pas qu'une ambition
européenne, c'est aussi une nécessité que nous partageons avec nos
partenaires dans la région. Cette vision partagée est alimentée par des
échanges réguliers que le Ministre entretient avec ses homologues de la
région. Ce fut le cas notamment lors de sa tournée en Asie en mars dernier, en
Indonésie et à Singapour mais également en Chine, pays avec lequel nous
entretenons un dialogue régulier, à tous les niveaux, sur ce sujet
spécifiquement. C'est dans ce contexte que le ministre Jean−Noël Barrot
rejoindra demain le Président de la République à Singapour, pour poursuivre
ce travail de coopération avec les pays de l'Asie du Sud−est et insister sur
deux piliers : l'attachement clair et inébranlable de la France à la défense du
droit international fondé sur des règles, d'une part ; d'autre part, la volonté
d'approfondir les partenariats de souveraineté que la France coconstruit, sur la
durée, avec ses partenaires de la région.",Point de presse
